Financial year,State/territory,School sector,Expenditure item,Total expenditure,Expenditure per student
2017/18,New South Wales,All non-government,State and territory governments,"$1,202,610,000 ","$2,870 "
2017/18,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$4,668,929,000 ","$11,142 "
2017/18,New South Wales,All,Australian Government,"$5,744,202,000 ","$4,733 "
2017/18,New South Wales,All,State and territory governments,"$13,993,069,000 ","$11,530 "
2017/18,New South Wales,All,Total Australian/State/territory government expenditure,"$19,737,271,000 ","$16,264 "
2017/18,Victoria,Government,Australian Government,"$1,626,541,000 ","$2,656 "
2017/18,Victoria,Government,State and territory governments,"$8,744,994,000 ","$14,282 "
2017/18,Victoria,Government,Total Australian/State/territory government expenditure,"$10,371,535,000 ","$16,939 "
2017/18,Victoria,All non-government,Australian Government,"$2,942,763,000 ","$8,407 "
2017/18,Victoria,All non-government,State and territory governments,"$721,577,000 ","$2,061 "
2017/18,Victoria,All non-government,Total Australian/State/territory government expenditure,"$3,664,340,000 ","$10,469 "
2017/18,Victoria,All,Australian Government,"$4,569,304,000 ","$4,748 "
2017/18,Victoria,All,State and territory governments,"$9,466,571,000 ","$9,837 "
2017/18,Victoria,All,Total Australian/State/territory government expenditure,"$14,035,875,000 ","$14,585 "
2017/18,Queensland,Government,Australian Government,"$1,630,645,000 ","$2,980 "
2017/18,Queensland,Government,State and territory governments,"$8,258,237,000 ","$15,091 "
2017/18,Queensland,Government,Total Australian/State/territory government expenditure,"$9,888,882,000 ","$18,071 "
2017/18,Queensland,All non-government,Australian Government,"$2,321,700,000 ","$8,705 "
2017/18,Queensland,All non-government,State and territory governments,"$814,125,000 ","$3,053 "
2017/18,Queensland,All non-government,Total Australian/State/territory government expenditure,"$3,135,825,000 ","$11,758 "
2017/18,Queensland,All,Australian Government,"$3,952,345,000 ","$4,856 "
2017/18,Queensland,All,State and territory governments,"$9,072,362,000 ","$11,146 "
2017/18,Queensland,All,Total Australian/State/territory government expenditure,"$13,024,707,000 ","$16,002 "
2017/18,South Australia,Government,Australian Government,"$470,862,000 ","$2,716 "
2017/18,South Australia,Government,State and territory governments,"$2,659,543,000 ","$15,343 "
2017/18,South Australia,Government,Total Australian/State/territory government expenditure,"$3,130,405,000 ","$18,059 "
2017/18,South Australia,All non-government,Australian Government,"$793,720,000 ","$8,472 "
2017/18,South Australia,All non-government,State and territory governments,"$202,132,000 ","$2,158 "
2017/18,South Australia,All non-government,Total Australian/State/territory government expenditure,"$995,852,000 ","$10,630 "
2017/18,South Australia,All,Australian Government,"$1,264,582,000 ","$4,736 "
2017/18,South Australia,All,State and territory governments,"$2,861,675,000 ","$10,717 "
2017/18,South Australia,All,Total Australian/State/territory government expenditure,"$4,126,257,000 ","$15,453 "
2017/18,Western Australia,Government,Australian Government,"$665,469,000 ","$2,390 "
2017/18,Western Australia,Government,State and territory governments,"$4,738,151,000 ","$17,016 "
2017/18,Western Australia,Government,Total Australian/State/territory government expenditure,"$5,403,620,000 ","$19,406 "
2017/18,Western Australia,All non-government,Australian Government,"$1,139,034,000 ","$8,315 "
2017/18,Western Australia,All non-government,State and territory governments,"$463,753,000 ","$3,385 "
2017/18,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,602,787,000 ","$11,700 "
2017/18,Western Australia,All,Australian Government,"$1,804,502,000 ","$4,344 "
2017/18,Western Australia,All,State and territory governments,"$5,201,905,000 ","$12,521 "
2017/18,Western Australia,All,Total Australian/State/territory government expenditure,"$7,006,407,000 ","$16,865 "
2017/18,Tasmania,Government,Australian Government,"$188,606,000 ","$3,329 "
2017/18,Tasmania,Government,State and territory governments,"$866,838,000 ","$15,302 "
2017/18,Tasmania,Government,Total Australian/State/territory government expenditure,"$1,055,444,000 ","$18,632 "
2017/18,Tasmania,All non-government,Australian Government,"$239,725,000 ","$9,874 "
2017/18,Tasmania,All non-government,State and territory governments,"$73,803,000 ","$3,040 "
2017/18,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$313,528,000 ","$12,914 "
2017/18,Tasmania,All,Australian Government,"$428,331,000 ","$5,293 "
2017/18,Tasmania,All,State and territory governments,"$940,641,000 ","$11,623 "
2017/18,Tasmania,All,Total Australian/State/territory government expenditure,"$1,368,972,000 ","$16,916 "
2017/18,Northern Territory,Government,Australian Government,"$234,586,000 ","$7,824 "
2017/18,Northern Territory,Government,State and territory governments,"$553,865,000 ","$18,472 "
2017/18,Northern Territory,Government,Total Australian/State/territory government expenditure,"$788,451,000 ","$26,296 "
2017/18,Northern Territory,All non-government,Australian Government,"$158,203,000 ","$14,320 "
2017/18,Northern Territory,All non-government,State and territory governments,"$63,071,000 ","$5,709 "
2017/18,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$221,275,000 ","$20,029 "
2017/18,Northern Territory,All,Australian Government,"$392,789,000 ","$9,573 "
2017/18,Northern Territory,All,State and territory governments,"$616,937,000 ","$15,036 "
2017/18,Northern Territory,All,Total Australian/State/territory government expenditure,"$1,009,726,000 ","$24,608 "
2017/18,Australian Capital Territory,Government,Australian Government,"$96,460,000 ","$2,269 "
2017/18,Australian Capital Territory,Government,State and territory governments,"$808,792,000 ","$19,029 "
2017/18,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$905,252,000 ","$21,298 "
2017/18,Australian Capital Territory,All non-government,Australian Government,"$210,066,000 ","$7,607 "
2017/18,Australian Capital Territory,All non-government,State and territory governments,"$67,431,000 ","$2,442 "
2017/18,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$277,497,000 ","$10,048 "
2017/18,Australian Capital Territory,All,Australian Government,"$306,526,000 ","$4,372 "
2017/18,Australian Capital Territory,All,State and territory governments,"$876,223,000 ","$12,496 "
2017/18,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$1,182,749,000 ","$16,868 "
2017/18,Australia,Government,Australian Government,"$7,191,052,000 ","$2,837 "
2017/18,Australia,Government,State and territory governments,"$39,420,879,000 ","$15,551 "
2017/18,Australia,Government,Total Australian/State/territory government expenditure,"$46,611,931,000 ","$18,387 "
2017/18,Australia,All non-government,Australian Government,"$11,271,530,000 ","$8,479 "
2017/18,Australia,All non-government,State and territory governments,"$3,608,504,000 ","$2,714 "
2017/18,Australia,All non-government,Total Australian/State/territory government expenditure,"$14,880,033,000 ","$11,193 "
2017/18,Australia,All,Australian Government,"$18,462,581,000 ","$4,778 "
2017/18,Australia,All,State and territory governments,"$43,029,383,000 ","$11,135 "
2017/18,Australia,All,Total Australian/State/territory government expenditure,"$61,491,964,000 ","$15,912 "
2016/17,New South Wales,Government,Australian Government,"$2,050,219,000 ","$2,609 "
2016/17,New South Wales,Government,State and territory governments,"$11,768,435,000 ","$14,976 "
2016/17,New South Wales,Government,Total Australian/State/territory government expenditure,"$13,818,654,000 ","$17,585 "
2016/17,New South Wales,All non-government,Australian Government,"$3,160,336,000 ","$7,606 "
2016/17,New South Wales,All non-government,State and territory governments,"$1,145,491,000 ","$2,757 "
2016/17,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$4,305,827,000 ","$10,363 "
2016/17,New South Wales,All,Australian Government,"$5,210,555,000 ","$4,337 "
2016/17,New South Wales,All,State and territory governments,"$12,913,926,000 ","$10,750 "
2016/17,New South Wales,All,Total Australian/State/territory government expenditure,"$18,124,481,000 ","$15,087 "
2016/17,Victoria,Government,Australian Government,"$1,511,777,000 ","$2,530 "
2016/17,Victoria,Government,State and territory governments,"$8,130,123,000 ","$13,605 "
2016/17,Victoria,Government,Total Australian/State/territory government expenditure,"$9,641,900,000 ","$16,135 "
2016/17,Victoria,All non-government,Australian Government,"$2,892,491,000 ","$8,378 "
2016/17,Victoria,All non-government,State and territory governments,"$692,701,000 ","$2,006 "
2016/17,Victoria,All non-government,Total Australian/State/territory government expenditure,"$3,585,192,000 ","$10,384 "
2016/17,Victoria,All,Australian Government,"$4,404,268,000 ","$4,671 "
2016/17,Victoria,All,State and territory governments,"$8,822,824,000 ","$9,358 "
2016/17,Victoria,All,Total Australian/State/territory government expenditure,"$13,227,092,000 ","$14,029 "
2016/17,Queensland,Government,Australian Government,"$1,499,190,000 ","$2,784 "
2016/17,Queensland,Government,State and territory governments,"$7,877,937,000 ","$14,630 "
2016/17,Queensland,Government,Total Australian/State/territory government expenditure,"$9,377,127,000 ","$17,414 "
2016/17,Queensland,All non-government,Australian Government,"$2,186,777,000 ","$8,269 "
2016/17,Queensland,All non-government,State and territory governments,"$716,209,000 ","$2,708 "
2016/17,Queensland,All non-government,Total Australian/State/territory government expenditure,"$2,902,986,000 ","$10,977 "
2016/17,Queensland,All,Australian Government,"$3,685,967,000 ","$4,591 "
2016/17,Queensland,All,State and territory governments,"$8,594,146,000 ","$10,703 "
2016/17,Queensland,All,Total Australian/State/territory government expenditure,"$12,280,113,000 ","$15,294 "
2016/17,South Australia,Government,Australian Government,"$439,372,000 ","$2,560 "
2016/17,South Australia,Government,State and territory governments,"$2,552,347,000 ","$14,869 "
2016/17,South Australia,Government,Total Australian/State/territory government expenditure,"$2,991,719,000 ","$17,429 "
2016/17,South Australia,All non-government,Australian Government,"$770,218,000 ","$8,233 "
2016/17,South Australia,All non-government,State and territory governments,"$193,574,000 ","$2,069 "
2016/17,South Australia,All non-government,Total Australian/State/territory government expenditure,"$963,792,000 ","$10,302 "
2016/17,South Australia,All,Australian Government,"$1,209,590,000 ","$4,561 "
2016/17,South Australia,All,State and territory governments,"$2,745,921,000 ","$10,354 "
2016/17,South Australia,All,Total Australian/State/territory government expenditure,"$3,955,511,000 ","$14,915 "
2016/17,Western Australia,Government,Australian Government,"$606,155,000 ","$2,215 "
2016/17,Western Australia,Government,State and territory governments,"$4,687,836,000 ","$17,131 "
2016/17,Western Australia,Government,Total Australian/State/territory government expenditure,"$5,293,991,000 ","$19,346 "
2016/17,Western Australia,All non-government,Australian Government,"$1,065,426,000 ","$7,782 "
2016/17,Western Australia,All non-government,State and territory governments,"$456,625,000 ","$3,335 "
2016/17,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,522,051,000 ","$11,117 "
2016/17,Western Australia,All,Australian Government,"$1,671,581,000 ","$4,071 "
2016/17,Western Australia,All,State and territory governments,"$5,144,461,000 ","$12,530 "
2016/17,Western Australia,All,Total Australian/State/territory government expenditure,"$6,816,042,000 ","$16,602 "
2016/17,Tasmania,Government,Australian Government,"$178,645,000 ","$3,165 "
2016/17,Tasmania,Government,State and territory governments,"$817,932,000 ","$14,489 "
2016/17,Tasmania,Government,Total Australian/State/territory government expenditure,"$996,577,000 ","$17,653 "
2016/17,Tasmania,All non-government,Australian Government,"$221,336,000 ","$9,124 "
2016/17,Tasmania,All non-government,State and territory governments,"$67,063,000 ","$2,764 "
2016/17,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$288,399,000 ","$11,888 "
2016/17,Tasmania,All,Australian Government,"$399,981,000 ","$4,956 "
2016/17,Tasmania,All,State and territory governments,"$884,995,000 ","$10,965 "
2016/17,Tasmania,All,Total Australian/State/territory government expenditure,"$1,284,976,000 ","$15,920 "
2016/17,Northern Territory,Government,Australian Government,"$223,307,000 ","$7,471 "
2016/17,Northern Territory,Government,State and territory governments,"$536,842,000 ","$17,961 "
2016/17,Northern Territory,Government,Total Australian/State/territory government expenditure,"$760,149,000 ","$25,433 "
2016/17,Northern Territory,All non-government,Australian Government,"$136,183,000 ","$11,939 "
2016/17,Northern Territory,All non-government,State and territory governments,"$80,392,000 ","$7,048 "
2016/17,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$216,575,000 ","$18,986 "
2016/17,Northern Territory,All,Australian Government,"$359,490,000 ","$8,705 "
2016/17,Northern Territory,All,State and territory governments,"$617,234,000 ","$14,947 "
2016/17,Northern Territory,All,Total Australian/State/territory government expenditure,"$976,724,000 ","$23,652 "
2016/17,Australian Capital Territory,Government,Australian Government,"$88,498,000 ","$2,157 "
2016/17,Australian Capital Territory,Government,State and territory governments,"$762,968,000 ","$18,593 "
2016/17,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$851,466,000 ","$20,750 "
2016/17,Australian Capital Territory,All non-government,Australian Government,"$187,769,000 ","$6,847 "
2016/17,Australian Capital Territory,All non-government,State and territory governments,"$64,334,000 ","$2,346 "
2016/17,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$252,103,000 ","$9,193 "
2016/17,Australian Capital Territory,All,Australian Government,"$276,267,000 ","$4,036 "
2016/17,Australian Capital Territory,All,State and territory governments,"$827,302,000 ","$12,085 "
2016/17,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$1,103,569,000 ","$16,120 "
2016/17,Australia,Government,Australian Government,"$6,597,163,000 ","$2,645 "
2016/17,Australia,Government,State and territory governments,"$37,134,420,000 ","$14,886 "
2016/17,Australia,Government,Total Australian/State/territory government expenditure,"$43,731,583,000 ","$17,531 "
2016/17,Australia,All non-government,Australian Government,"$10,620,536,000 ","$8,053 "
2016/17,Australia,All non-government,State and territory governments,"$3,416,388,000 ","$2,591 "
2016/17,Australia,All non-government,Total Australian/State/territory government expenditure,"$14,036,924,000 ","$10,644 "
2016/17,Australia,All,Australian Government,"$17,217,699,000 ","$4,515 "
2016/17,Australia,All,State and territory governments,"$40,550,808,000 ","$10,634 "
2016/17,Australia,All,Total Australian/State/territory government expenditure,"$57,768,507,000 ","$15,149 "
2015/16,New South Wales,Government,Australian Government,"$1,771,232,000 ","$2,282 "
2015/16,New South Wales,Government,State and territory governments,"$11,912,671,000 ","$15,346 "
2015/16,New South Wales,Government,Total Australian/State/territory government expenditure,"$13,683,903,000 ","$17,627 "
2015/16,New South Wales,All non-government,Australian Government,"$3,071,046,000 ","$7,461 "
2015/16,New South Wales,All non-government,State and territory governments,"$1,095,316,000 ","$2,661 "
2015/16,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$4,166,362,000 ","$10,122 "
2015/16,New South Wales,All,Australian Government,"$4,842,278,000 ","$4,076 "
2015/16,New South Wales,All,State and territory governments,"$13,007,987,000 ","$10,950 "
2015/16,New South Wales,All,Total Australian/State/territory government expenditure,"$17,850,265,000 ","$15,027 "
2015/16,Victoria,Government,Australian Government,"$1,374,466,000 ","$2,356 "
2015/16,Victoria,Government,State and territory governments,"$7,760,571,000 ","$13,301 "
2015/16,Victoria,Government,Total Australian/State/territory government expenditure,"$9,135,037,000 ","$15,656 "
2015/16,Victoria,All non-government,Australian Government,"$2,574,425,000 ","$7,563 "
2015/16,Victoria,All non-government,State and territory governments,"$655,886,000 ","$1,927 "
2015/16,Victoria,All non-government,Total Australian/State/territory government expenditure,"$3,230,311,000 ","$9,490 "
2015/16,Victoria,All,Australian Government,"$3,948,891,000 ","$4,274 "
2015/16,Victoria,All,State and territory governments,"$8,416,457,000 ","$9,110 "
2015/16,Victoria,All,Total Australian/State/territory government expenditure,"$12,365,348,000 ","$13,384 "
2015/16,Queensland,Government,Australian Government,"$1,298,080,000 ","$2,451 "
2015/16,Queensland,Government,State and territory governments,"$7,633,286,000 ","$14,415 "
2015/16,Queensland,Government,Total Australian/State/territory government expenditure,"$8,931,366,000 ","$16,867 "
2015/16,Queensland,All non-government,Australian Government,"$2,039,190,000 ","$7,762 "
2015/16,Queensland,All non-government,State and territory governments,"$722,393,000 ","$2,750 "
2015/16,Queensland,All non-government,Total Australian/State/territory government expenditure,"$2,761,583,000 ","$10,512 "
2015/16,Queensland,All,Australian Government,"$3,337,270,000 ","$4,213 "
2015/16,Queensland,All,State and territory governments,"$8,355,679,000 ","$10,547 "
2015/16,Queensland,All,Total Australian/State/territory government expenditure,"$11,692,949,000 ","$14,760 "
2015/16,South Australia,Government,Australian Government,"$411,080,000 ","$2,424 "
2015/16,South Australia,Government,State and territory governments,"$2,470,447,000 ","$14,566 "
2015/16,South Australia,Government,Total Australian/State/territory government expenditure,"$2,881,527,000 ","$16,990 "
2015/16,South Australia,All non-government,Australian Government,"$730,288,000 ","$7,734 "
2015/16,South Australia,All non-government,State and territory governments,"$188,488,000 ","$1,996 "
2015/16,South Australia,All non-government,Total Australian/State/territory government expenditure,"$918,776,000 ","$9,731 "
2015/16,South Australia,All,Australian Government,"$1,141,368,000 ","$4,323 "
2015/16,South Australia,All,State and territory governments,"$2,658,935,000 ","$10,071 "
2015/16,South Australia,All,Total Australian/State/territory government expenditure,"$3,800,303,000 ","$14,394 "
2015/16,Western Australia,Government,Australian Government,"$564,686,000 ","$2,098 "
2015/16,Western Australia,Government,State and territory governments,"$4,659,091,000 ","$17,306 "
2015/16,Western Australia,Government,Total Australian/State/territory government expenditure,"$5,223,777,000 ","$19,404 "
2015/16,Western Australia,All non-government,Australian Government,"$1,028,190,000 ","$7,497 "
2015/16,Western Australia,All non-government,State and territory governments,"$449,692,000 ","$3,279 "
2015/16,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,477,882,000 ","$10,775 "
2015/16,Western Australia,All,Australian Government,"$1,592,876,000 ","$3,920 "
2015/16,Western Australia,All,State and territory governments,"$5,108,783,000 ","$12,572 "
2015/16,Western Australia,All,Total Australian/State/territory government expenditure,"$6,701,659,000 ","$16,491 "
2015/16,Tasmania,Government,Australian Government,"$166,371,000 ","$2,947 "
2015/16,Tasmania,Government,State and territory governments,"$811,278,000 ","$14,372 "
2015/16,Tasmania,Government,Total Australian/State/territory government expenditure,"$977,649,000 ","$17,320 "
2015/16,Tasmania,All non-government,Australian Government,"$206,275,000 ","$8,536 "
2015/16,Tasmania,All non-government,State and territory governments,"$61,569,000 ","$2,548 "
2015/16,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$267,845,000 ","$11,084 "
2015/16,Tasmania,All,Australian Government,"$372,646,000 ","$4,623 "
2015/16,Tasmania,All,State and territory governments,"$872,848,000 ","$10,828 "
2015/16,Tasmania,All,Total Australian/State/territory government expenditure,"$1,245,494,000 ","$15,451 "
2015/16,Northern Territory,Government,Australian Government,"$184,016,000 ","$6,311 "
2015/16,Northern Territory,Government,State and territory governments,"$535,074,000 ","$18,352 "
2015/16,Northern Territory,Government,Total Australian/State/territory government expenditure,"$719,090,000 ","$24,664 "
2015/16,Northern Territory,All non-government,Australian Government,"$149,263,000 ","$12,807 "
2015/16,Northern Territory,All non-government,State and territory governments,"$70,718,000 ","$6,068 "
2015/16,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$219,981,000 ","$18,874 "
2015/16,Northern Territory,All,Australian Government,"$333,279,000 ","$8,166 "
2015/16,Northern Territory,All,State and territory governments,"$605,792,000 ","$14,844 "
2015/16,Northern Territory,All,Total Australian/State/territory government expenditure,"$939,071,000 ","$23,010 "
2015/16,Australian Capital Territory,Government,Australian Government,"$82,153,000 ","$2,081 "
2015/16,Australian Capital Territory,Government,State and territory governments,"$745,356,000 ","$18,879 "
2015/16,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$827,509,000 ","$20,960 "
2015/16,Australian Capital Territory,All non-government,Australian Government,"$183,230,000 ","$6,701 "
2015/16,Australian Capital Territory,All non-government,State and territory governments,"$61,080,000 ","$2,234 "
2015/16,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$244,310,000 ","$8,935 "
2015/16,Australian Capital Territory,All,Australian Government,"$265,383,000 ","$3,971 "
2015/16,Australian Capital Territory,All,State and territory governments,"$806,436,000 ","$12,068 "
2015/16,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$1,071,819,000 ","$16,039 "
2015/16,Australia,Government,Australian Government,"$5,852,083,000 ","$2,386 "
2015/16,Australia,Government,State and territory governments,"$36,527,775,000 ","$14,890 "
2015/16,Australia,Government,Total Australian/State/territory government expenditure,"$42,379,858,000 ","$17,275 "
2015/16,Australia,All non-government,Australian Government,"$9,981,908,000 ","$7,623 "
2015/16,Australia,All non-government,State and territory governments,"$3,305,142,000 ","$2,524 "
2015/16,Australia,All non-government,Total Australian/State/territory government expenditure,"$13,287,050,000 ","$10,147 "
2015/16,Australia,All,Australian Government,"$15,833,991,000 ","$4,208 "
2015/16,Australia,All,State and territory governments,"$39,832,917,000 ","$10,586 "
2015/16,Australia,All,Total Australian/State/territory government expenditure,"$55,666,908,000 ","$14,795 "
2014/15,New South Wales,Government,Australian Government,"$1,644,501,000 ","$2,142 "
2014/15,New South Wales,Government,State and territory governments,"$11,374,727,000 ","$14,814 "
2014/15,New South Wales,Government,Total Australian/State/territory government expenditure,"$13,019,228,000 ","$16,956 "
2014/15,New South Wales,All non-government,Australian Government,"$2,933,268,000 ","$7,205 "
2014/15,New South Wales,All non-government,State and territory governments,"$1,052,299,000 ","$2,585 "
2014/15,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$3,985,567,000 ","$9,790 "
2014/15,New South Wales,All,Australian Government,"$4,577,769,000 ","$3,896 "
2014/15,New South Wales,All,State and territory governments,"$12,427,026,000 ","$10,577 "
2014/15,New South Wales,All,Total Australian/State/territory government expenditure,"$17,004,795,000 ","$14,473 "
2014/15,Victoria,Government,Australian Government,"$1,255,082,000 ","$2,199 "
2014/15,Victoria,Government,State and territory governments,"$7,085,884,000 ","$12,413 "
2014/15,Victoria,Government,Total Australian/State/territory government expenditure,"$8,340,966,000 ","$14,612 "
2014/15,Victoria,All non-government,Australian Government,"$2,445,646,000 ","$7,279 "
2014/15,Victoria,All non-government,State and territory governments,"$662,499,000 ","$1,972 "
2014/15,Victoria,All non-government,Total Australian/State/territory government expenditure,"$3,108,145,000 ","$9,251 "
2014/15,Victoria,All,Australian Government,"$3,700,728,000 ","$4,081 "
2014/15,Victoria,All,State and territory governments,"$7,748,383,000 ","$8,544 "
2014/15,Victoria,All,Total Australian/State/territory government expenditure,"$11,449,111,000 ","$12,625 "
2014/15,Queensland,Government,Australian Government,"$1,161,125,000 ","$2,226 "
2014/15,Queensland,Government,State and territory governments,"$7,286,719,000 ","$13,972 "
2014/15,Queensland,Government,Total Australian/State/territory government expenditure,"$8,447,844,000 ","$16,198 "
2014/15,Queensland,All non-government,Australian Government,"$1,942,914,000 ","$7,473 "
2014/15,Queensland,All non-government,State and territory governments,"$715,083,000 ","$2,750 "
2014/15,Queensland,All non-government,Total Australian/State/territory government expenditure,"$2,657,997,000 ","$10,223 "
2014/15,Queensland,All,Australian Government,"$3,104,039,000 ","$3,972 "
2014/15,Queensland,All,State and territory governments,"$8,001,802,000 ","$10,239 "
2014/15,Queensland,All,Total Australian/State/territory government expenditure,"$11,105,841,000 ","$14,211 "
2014/15,South Australia,Government,Australian Government,"$385,499,000 ","$2,304 "
2014/15,South Australia,Government,State and territory governments,"$2,374,684,000 ","$14,193 "
2014/15,South Australia,Government,Total Australian/State/territory government expenditure,"$2,760,183,000 ","$16,497 "
2014/15,South Australia,All non-government,Australian Government,"$704,636,000 ","$7,431 "
2014/15,South Australia,All non-government,State and territory governments,"$184,552,000 ","$1,946 "
2014/15,South Australia,All non-government,Total Australian/State/territory government expenditure,"$889,188,000 ","$9,377 "
2014/15,South Australia,All,Australian Government,"$1,090,135,000 ","$4,159 "
2014/15,South Australia,All,State and territory governments,"$2,559,236,000 ","$9,763 "
2014/15,South Australia,All,Total Australian/State/territory government expenditure,"$3,649,371,000 ","$13,921 "
2014/15,Western Australia,Government,Australian Government,"$520,055,000 ","$1,975 "
2014/15,Western Australia,Government,State and territory governments,"$4,678,746,000 ","$17,770 "
2014/15,Western Australia,Government,Total Australian/State/territory government expenditure,"$5,198,801,000 ","$19,745 "
2014/15,Western Australia,All non-government,Australian Government,"$979,792,000 ","$7,244 "
2014/15,Western Australia,All non-government,State and territory governments,"$447,682,000 ","$3,310 "
2014/15,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,427,474,000 ","$10,554 "
2014/15,Western Australia,All,Australian Government,"$1,499,847,000 ","$3,763 "
2014/15,Western Australia,All,State and territory governments,"$5,126,428,000 ","$12,863 "
2014/15,Western Australia,All,Total Australian/State/territory government expenditure,"$6,626,275,000 ","$16,626 "
2014/15,Tasmania,Government,Australian Government,"$159,753,000 ","$2,824 "
2014/15,Tasmania,Government,State and territory governments,"$812,484,000 ","$14,364 "
2014/15,Tasmania,Government,Total Australian/State/territory government expenditure,"$972,237,000 ","$17,188 "
2014/15,Tasmania,All non-government,Australian Government,"$196,142,000 ","$8,142 "
2014/15,Tasmania,All non-government,State and territory governments,"$58,107,000 ","$2,412 "
2014/15,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$254,249,000 ","$10,555 "
2014/15,Tasmania,All,Australian Government,"$355,895,000 ","$4,413 "
2014/15,Tasmania,All,State and territory governments,"$870,591,000 ","$10,794 "
2014/15,Tasmania,All,Total Australian/State/territory government expenditure,"$1,226,486,000 ","$15,207 "
2014/15,Northern Territory,Government,Australian Government,"$182,858,000 ","$6,265 "
2014/15,Northern Territory,Government,State and territory governments,"$529,164,000 ","$18,130 "
2014/15,Northern Territory,Government,Total Australian/State/territory government expenditure,"$712,022,000 ","$24,394 "
2014/15,Northern Territory,All non-government,Australian Government,"$131,617,000 ","$11,482 "
2014/15,Northern Territory,All non-government,State and territory governments,"$67,536,000 ","$5,892 "
2014/15,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$199,153,000 ","$17,374 "
2014/15,Northern Territory,All,Australian Government,"$314,475,000 ","$7,736 "
2014/15,Northern Territory,All,State and territory governments,"$596,700,000 ","$14,679 "
2014/15,Northern Territory,All,Total Australian/State/territory government expenditure,"$911,175,000 ","$22,415 "
2014/15,Australian Capital Territory,Government,Australian Government,"$78,724,000 ","$2,072 "
2014/15,Australian Capital Territory,Government,State and territory governments,"$701,536,000 ","$18,461 "
2014/15,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$780,260,000 ","$20,532 "
2014/15,Australian Capital Territory,All non-government,Australian Government,"$175,969,000 ","$6,448 "
2014/15,Australian Capital Territory,All non-government,State and territory governments,"$59,361,000 ","$2,175 "
2014/15,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$235,330,000 ","$8,623 "
2014/15,Australian Capital Territory,All,Australian Government,"$254,693,000 ","$3,901 "
2014/15,Australian Capital Territory,All,State and territory governments,"$760,897,000 ","$11,654 "
2014/15,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$1,015,590,000 ","$15,554 "
2014/15,Australia,Government,Australian Government,"$5,387,597,000 ","$2,231 "
2014/15,Australia,Government,State and territory governments,"$34,843,944,000 ","$14,431 "
2014/15,Australia,Government,Total Australian/State/territory government expenditure,"$40,231,541,000 ","$16,662 "
2014/15,Australia,All non-government,Australian Government,"$9,509,984,000 ","$7,338 "
2014/15,Australia,All non-government,State and territory governments,"$3,247,119,000 ","$2,505 "
2014/15,Australia,All non-government,Total Australian/State/territory government expenditure,"$12,757,103,000 ","$9,843 "
2014/15,Australia,All,Australian Government,"$14,897,581,000 ","$4,015 "
2014/15,Australia,All,State and territory governments,"$38,091,063,000 ","$10,265 "
2014/15,Australia,All,Total Australian/State/territory government expenditure,"$52,988,644,000 ","$14,280 "
2013/14,New South Wales,Government,Australian Government,"$1,536,912,000 ","$2,024 "
2013/14,New South Wales,Government,State and territory governments,"$10,956,586,000 ","$14,426 "
2013/14,New South Wales,Government,Total Australian/State/territory government expenditure,"$12,493,498,000 ","$16,449 "
2013/14,New South Wales,All non-government,Australian Government,"$2,747,719,000 ","$6,840 "
2013/14,New South Wales,All non-government,State and territory governments,"$978,044,000 ","$2,435 "
2013/14,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$3,725,763,000 ","$9,275 "
2013/14,New South Wales,All,Australian Government,"$4,284,631,000 ","$3,690 "
2013/14,New South Wales,All,State and territory governments,"$11,934,630,000 ","$10,277 "
2013/14,New South Wales,All,Total Australian/State/territory government expenditure,"$16,219,261,000 ","$13,967 "
2013/14,Victoria,Government,Australian Government,"$1,118,462,000 ","$1,998 "
2013/14,Victoria,Government,State and territory governments,"$6,676,453,000 ","$11,926 "
